fips,date,count
13085,2021-03-29,106
13087,2021-03-30,128
13089,2021-03-04,1277
13091,2021-03-30,138
13093,2021-03-04,90
13095,2021-06-14,559
13097,2021-06-13,723
13099,2021-03-04,28
13101,2021-03-04,0
13103,2021-03-29,165
13105,2021-03-30,77
13107,2021-03-04,121
13109,2021-03-04,0
13111,2021-03-04,50
13113,2021-03-29,220
13115,2021-06-13,605
13117,2021-03-29,336
13119,2021-03-04,74
13121,2021-03-04,5281
13123,2021-03-29,89
13125,2021-03-04,0
13127,2021-03-04,369
13129,2021-03-30,279
13131,2021-03-04,84
13133,2021-03-04,40
13135,2021-03-04,1749
13137,2021-03-29,121
13139,2021-03-04,547
13141,2021-03-04,21
13143,2021-03-30,168
13145,2021-03-04,34
13147,2021-03-04,28
13149,2021-03-04,46
13151,2021-03-04,571
13153,2021-03-29,468
13155,2021-03-04,406
13157,2021-03-30,162
13159,2021-03-04,26
13161,2021-03-04,43
13163,2021-03-04,98
13165,2021-03-04,47
13167,2021-03-04,24
13169,2021-03-04,134
13171,2021-03-29,66
13173,2021-03-04,0
13175,2021-03-30,302
13177,2021-03-04,66
13179,2021-03-29,176
13181,2021-03-04,39
13183,2021-03-04,0
13185,2021-03-04,611
13187,2021-06-13,93
13189,2021-03-04,76
13191,2021-03-04,63
13193,2021-03-04,20
13195,2021-03-04,81
13197,2021-03-04,10
13199,2021-03-04,68
13201,2021-03-04,25
13205,2021-03-04,106
13207,2021-03-30,125
13209,2021-03-04,0
13211,2021-03-04,64
13213,2021-03-04,120
13215,2021-03-04,924
13217,2021-03-04,277
13219,2021-03-30,33
13221,2021-03-04,57
13223,2021-03-04,171
13225,2021-03-04,94
13227,2021-03-29,90
13229,2021-03-04,72
13231,2021-03-04,27
13233,2021-03-30,144
13235,2021-03-04,37
13237,2021-03-04,78
13239,2021-03-04,0
13241,2021-03-29,79
13243,2021-03-04,44
13245,2021-03-04,1881
13247,2021-03-04,235
13249,2021-03-04,8
13251,2021-03-04,46
13253,2021-03-04,39
13255,2021-03-29,343
13257,2021-03-04,186
13259,2021-03-04,0
13261,2021-03-30,142
13263,2021-03-04,0
13265,2021-03-04,0
13267,2021-03-30,75
13269,2021-03-04,17
13271,2021-03-04,53
13273,2021-03-04,12
13275,2021-03-04,145
13277,2021-03-30,259
13279,2021-06-13,120
13281,2021-03-04,32
13283,2021-03-04,38
13285,2021-03-04,964
13287,2021-03-30,56
13289,2021-03-04,17
13291,2021-03-04,90
13293,2021-03-30,102
13295,2021-03-04,233
13297,2021-03-29,481
13299,2021-03-30,455
13301,2021-03-04,0
13303,2021-03-30,93
13305,2021-03-04,88
13307,2021-03-04,0
13309,2021-03-04,15
13311,2021-03-04,71
13313,2021-03-29,396
13315,2021-03-04,19
13317,2021-03-04,41
13319,2021-03-04,41
13321,2021-03-30,83
15000,2021-05-31,4071
16000,2021-06-13,8939
16001,2021-03-24,835
16005,2021-03-30,271
16011,2021-03-30,78
16013,2021-03-30,7
16017,2020-12-07,134
16019,2021-03-29,246
16027,2021-03-29,352
16031,2021-03-30,113
16039,2021-03-30,51
16069,2021-03-30,79
16073,2021-01-28,25
16077,2021-03-29,8
16083,2020-06-22,241
16087,2021-06-13,45
17000,2021-06-12,26827
17001,2020-12-15,119
17029,2021-03-29,71
17031,2021-06-11,5841
17033,2021-03-29,33
17041,2020-08-19,17
17089,2021-03-30,467
17091,2021-06-14,253
17093,2021-03-30,141
17111,2021-03-01,233
17115,2021-03-29,309
17127,2021-03-29,34
17139,2021-03-30,35
17157,2021-03-29,30
17159,2021-01-11,21
17163,2021-06-13,452
17177,2020-11-23,58
17185,2021-03-29,7
17197,2021-06-14,584
17203,2021-03-30,74
18000,2021-06-13,24695
18001,2020-05-06,100
18003,2020-05-06,588
18005,2020-05-06,169
18007,2020-05-06,18
18009,2020-05-06,28
18011,2021-06-14,129
18013,2020-05-06,21
18015,2020-05-06,25
18017,2020-05-06,144
18019,2020-05-06,318
18021,2021-06-14,158
18023,2021-06-14,158
18025,2020-05-06,81
18027,2020-05-06,118
18029,2020-12-07,273
18031,2020-05-06,106
18033,2020-05-06,72
18035,2021-03-29,269
18037,2021-06-14,74
18039,2020-05-06,603
18041,2020-05-06,114
18043,2020-05-06,232
18045,2020-05-06,7
18047,2020-05-06,40
18049,2020-05-06,48
18051,2020-05-06,81
18053,2021-03-30,261
18055,2020-05-06,90
18057,2021-06-14,269
18059,2021-06-14,148
18061,2020-05-06,107
18063,2021-06-14,266
18065,2020-05-06,164
18067,2021-06-14,449
18069,2020-05-06,100
18071,2021-06-14,230
18073,2020-05-06,45
18075,2020-05-06,72
18077,2020-05-06,88
18079,2020-05-06,125
18081,2020-05-06,275
18083,2021-06-14,158
18085,2020-05-06,224
18087,2020-05-06,60
18089,2020-05-06,636
18091,2021-06-14,297
18093,2020-05-06,114
18095,2020-05-06,249
18097,2021-06-14,1881
18099,2020-05-06,162
18101,2020-05-06,68
18103,2020-05-06,82
18105,2020-05-06,189
18107,2021-06-14,166
18109,2020-07-07,201
18111,2020-05-06,38
18113,2020-05-06,102
18115,2020-05-06,0
18117,2020-05-06,64
18119,2020-05-06,39
18121,2020-05-06,50
18123,2021-06-14,74
18125,2020-05-06,28
18127,2021-06-14,215
18129,2020-05-06,85
18131,2021-06-14,75
18133,2021-03-30,107
18135,2020-05-06,41
18137,2020-05-06,93
18139,2020-05-06,16
18141,2020-05-06,812
18143,2021-06-14,193
18145,2021-06-14,175
18147,2020-05-06,53
18149,2021-06-14,117
18151,2020-05-06,49
18153,2020-05-06,43
18155,2020-05-06,38
18157,2021-03-29,453
18159,2020-05-06,20
18161,2020-05-06,7
18163,2020-05-06,1230
18165,2020-05-06,24
18167,2021-06-14,330
18169,2020-05-06,73
18171,2020-05-06,16
18173,2020-05-06,70
18175,2021-06-14,158
18177,2020-05-06,258
18179,2020-05-06,56
18181,2020-05-06,67
18183,2021-06-14,177
19000,2021-06-14,7677
19013,2020-02-14,251
19021,2021-03-30,17
19033,2021-03-29,42
19045,2021-06-13,51
19049,2021-06-14,36
19057,2021-03-29,76
19059,2021-03-29,6
19083,2021-03-30,53
19093,2021-01-21,5
19103,2021-03-30,69
19113,2021-03-29,339
19119,2021-02-16,0
19127,2021-06-13,149
19141,2020-06-02,25
19149,2021-02-16,0
19153,2021-03-30,747
19155,2021-03-29,150
19163,2020-12-07,299
19169,2021-03-29,49
19195,2021-03-09,4
20013,2021-03-29,17
20017,2020-11-20,71
20021,2021-06-14,73
20037,2021-06-14,86
20041,2021-03-29,12
20043,2021-03-29,11
20045,2020-04-17,132
20055,2021-03-29,52
20061,2021-03-29,79
20085,2021-03-29,71
20087,2021-06-14,28
20099,2021-01-21,55
20113,2021-03-29,39
20115,2021-06-14,18
20151,2021-06-14,14
20155,2021-03-29,128
20169,2021-03-30,203
20173,2021-01-05,1503
20177,2020-12-07,456
20181,2021-03-29,17
20191,2021-03-30,94
20193,2021-03-30,10
20195,2021-03-29,5
