fips,date,count
6,2020-01-15,123670.0
6,2020-01-22,123578.0
6,2020-01-29,123525.0
6,2020-02-05,123491.0
6,2020-02-12,123439.0
6,2020-02-19,123283.0
6,2020-02-26,123105.0
6,2020-03-04,123062.0
6,2020-03-11,123010.0
6,2020-03-18,123030.0
6,2020-03-25,122941.0
6,2020-04-01,122265.0
6,2020-04-08,120135.0
6,2020-04-15,118466.0
6,2020-04-22,118161.0
6,2020-04-29,117812.0
6,2020-05-02,118412.0
6,2020-05-03,118372.0
6,2020-05-04,118345.0
6,2020-05-05,118235.0
6,2020-05-06,118181.0
6,2020-05-07,118132.0
6,2020-05-08,118085.0
6,2020-05-09,118043.0
6,2020-05-10,118002.0
6,2020-05-11,117952.0
6,2020-05-12,117913.0
6,2020-05-13,117114.0
6,2020-05-14,117867.0
6,2020-05-20,116726.0
6,2020-05-27,116337.0
6,2020-06-03,115942.0
6,2020-06-10,115248.0
6,2020-06-17,114643.0
6,2020-06-24,113984.0
6,2020-07-01,113292.0
6,2020-07-08,112507.0
6,2020-07-15,110567.0
6,2020-07-22,109481.0
6,2020-07-29,106881.0
6,2020-08-05,104658.0
6,2020-08-12,103169.0
6,2020-08-17,103731.0
6,2020-08-18,103604.0
6,2020-08-19,103465.0
6,2020-08-21,103375.0
6,2020-08-22,103288.0
6,2020-08-23,103239.0
6,2020-08-24,103184.0
6,2020-08-25,102989.0
