fips,case,death
6011.0,2020-03-27,
6013.0,2020-03-03,2020-03-20
6015.0,2020-04-02,
6017.0,2020-03-21,
6019.0,2020-03-07,2020-04-03
6021.0,2020-03-28,
6023.0,2020-02-20,2020-05-21
6025.0,2020-03-20,2020-04-05
6027.0,2020-03-25,2020-04-02
6029.0,2020-03-17,2020-03-27
6031.0,2020-03-27,2020-04-11
6033.0,2020-04-06,
6035.0,2020-05-23,
6037.0,2020-01-26,2020-03-11
6039.0,2020-03-07,2020-03-27
6041.0,2020-02-26,2020-03-27
6043.0,2020-04-28,2020-05-15
6045.0,2020-03-18,
6047.0,2020-03-24,2020-04-05
6049.0,2020-05-26,
6051.0,2020-03-24,2020-03-31
6053.0,2020-03-17,2020-03-21
6055.0,2020-02-26,2020-03-31
6057.0,2020-03-16,2020-04-03
6059.0,2020-01-25,2020-03-25
6061.0,2020-03-02,2020-03-04
6063.0,2020-03-31,
6065.0,2020-03-07,2020-03-16
6067.0,2020-02-21,2020-03-10
6069.0,2020-03-13,2020-03-17
6071.0,2020-03-15,2020-03-24
6073.0,2020-02-10,2020-03-24
6075.0,2020-02-02,2020-03-25
6077.0,2020-03-10,2020-03-18
6079.0,2020-03-14,2020-04-04
6081.0,2020-03-02,2020-03-15
6083.0,2020-03-15,2020-04-02
6085.0,2020-01-31,2020-03-09
6087.0,2020-03-07,2020-03-29
6089.0,2020-03-09,2020-03-25
6091.0,2020-05-22,
6093.0,2020-03-21,
6095.0,2020-02-24,2020-04-02
6097.0,2020-02-26,2020-03-20
6099.0,2020-03-11,2020-04-10
6101.0,2020-03-25,2020-04-02
6103.0,2020-04-03,2020-04-24
6105.0,2020-05-10,
6107.0,2020-03-12,2020-03-28
6109.0,2020-03-29,
6111.0,2020-03-10,2020-03-22
6113.0,2020-03-06,2020-03-22
6115.0,2020-03-21,2020-04-08
8001.0,2020-03-12,2020-03-31
8003.0,2020-03-27,2020-04-09
8005.0,2020-03-09,2020-03-26
8007.0,2020-03-30,
8009.0,2020-03-28,
8011.0,2020-05-10,
8013.0,2020-03-14,2020-03-27
8014.0,2020-03-20,2020-03-31
8015.0,2020-03-21,2020-03-26
8017.0,2020-05-07,
8019.0,2020-03-13,2020-04-21
8021.0,2020-05-07,
8023.0,2020-03-27,
8025.0,2020-03-19,2020-03-19
8027.0,2020-04-02,
8029.0,2020-03-24,2020-04-08
8031.0,2020-03-06,2020-03-25
8035.0,2020-03-05,2020-04-02
8037.0,2020-03-06,2020-03-21
8039.0,2020-03-21,2020-04-04
8041.0,2020-03-06,2020-03-12
8043.0,2020-03-24,
8045.0,2020-03-15,2020-03-30
8047.0,2020-04-09,
8049.0,2020-03-19,2020-06-29
8051.0,2020-03-10,2020-03-23
8053.0,2020-03-21,
8055.0,2020-03-24,
8057.0,2020-06-25,
8059.0,2020-03-05,2020-03-25
8063.0,2020-03-26,2020-04-14
