fips,case,death
19055.0,2020-04-07,2020-05-03
19057.0,2020-03-26,2020-04-26
19059.0,2020-03-27,2020-06-16
19061.0,2020-03-19,2020-03-24
19063.0,2020-05-13,
19065.0,2020-03-21,
19067.0,2020-05-01,2020-05-10
19069.0,2020-04-06,
19071.0,2020-05-08,
19073.0,2020-04-07,
19075.0,2020-04-04,
19077.0,2020-03-30,2020-05-12
19079.0,2020-04-05,2020-06-29
19081.0,2020-03-23,
19083.0,2020-03-27,
19085.0,2020-03-13,
19087.0,2020-03-21,2020-04-05
19089.0,2020-04-04,
19091.0,2020-04-21,2020-06-01
19093.0,2020-05-12,
19095.0,2020-03-27,
19097.0,2020-03-30,
19099.0,2020-03-24,2020-04-29
19101.0,2020-04-02,
19103.0,2020-03-08,2020-04-05
19105.0,2020-03-30,
19107.0,2020-03-28,2020-06-16
19109.0,2020-03-22,
19111.0,2020-04-04,2020-06-10
19113.0,2020-03-21,2020-03-29
19115.0,2020-04-03,2020-04-16
19117.0,2020-05-17,2020-06-01
19119.0,2020-04-03,
19121.0,2020-04-01,2020-04-11
19123.0,2020-03-26,2020-04-20
19125.0,2020-04-06,
19127.0,2020-03-27,2020-04-29
19129.0,2020-04-04,
19131.0,2020-04-01,
19133.0,2020-03-26,
19135.0,2020-05-03,2020-05-15
19137.0,2020-03-27,2020-06-03
19139.0,2020-03-19,2020-03-31
19141.0,2020-04-02,2020-06-09
19143.0,2020-04-10,
19145.0,2020-03-26,
19147.0,2020-05-08,
19149.0,2020-04-03,2020-05-26
19151.0,2020-04-27,2020-06-20
19153.0,2020-03-15,2020-04-01
19155.0,2020-03-09,2020-04-13
19157.0,2020-03-22,2020-03-27
19159.0,2020-05-19,
19161.0,2020-05-01,
19163.0,2020-03-22,2020-04-05
19165.0,2020-03-28,
19167.0,2020-03-22,
19169.0,2020-03-21,2020-04-28
19171.0,2020-03-22,2020-04-06
19173.0,2020-03-28,
19175.0,2020-04-10,
19177.0,2020-03-30,
19179.0,2020-03-23,2020-05-13
19181.0,2020-03-24,2020-06-04
19183.0,2020-03-18,2020-03-30
19185.0,2020-05-01,
19187.0,2020-03-27,2020-05-14
19189.0,2020-04-06,
19191.0,2020-03-18,
19193.0,2020-03-22,2020-04-22
19195.0,2020-04-08,
19197.0,2020-03-27,
20001.0,2020-06-15,
20003.0,2020-05-09,
20005.0,2020-03-30,
20007.0,2020-04-07,
20009.0,2020-03-31,2020-05-06
20011.0,2020-03-23,2020-04-07
20013.0,2020-05-04,
20015.0,2020-03-13,
20017.0,2020-04-17,
20019.0,2020-03-31,
20021.0,2020-03-19,
20023.0,2020-04-29,
20025.0,2020-04-23,
20027.0,2020-03-27,2020-04-27
20029.0,2020-04-02,
20031.0,2020-03-27,2020-04-02
20033.0,2020-05-22,
20035.0,2020-04-02,2020-04-09
20037.0,2020-03-25,2020-03-30
20041.0,2020-04-14,
20043.0,2020-03-24,
20045.0,2020-03-17,
20047.0,2020-04-22,
20049.0,2020-06-26,
20051.0,2020-04-11,
20053.0,2020-05-04,
20055.0,2020-03-29,2020-04-14
20057.0,2020-03-17,2020-05-04
20059.0,2020-03-14,
20061.0,2020-04-05,2020-06-02
20063.0,2020-03-27,
20067.0,2020-04-24,2020-06-04
20069.0,2020-04-23,
20073.0,2020-04-04,
20075.0,2020-04-11,
20077.0,2020-04-30,
20079.0,2020-03-27,2020-05-15
20081.0,2020-04-20,
20083.0,2020-05-22,
20085.0,2020-03-22,2020-05-27
20087.0,2020-03-26,
20089.0,2020-04-04,
20091.0,2020-03-07,2020-03-21
20093.0,2020-04-12,2020-05-19
20097.0,2020-04-23,
20099.0,2020-03-31,
20101.0,2020-05-22,
20103.0,2020-03-18,2020-04-03
20105.0,2020-06-29,
20107.0,2020-03-19,
20109.0,2020-06-24,
20111.0,2020-03-23,2020-04-19
20113.0,2020-03-27,
20115.0,2020-04-03,2020-04-27
20117.0,2020-06-24,
20119.0,2020-04-24,
20121.0,2020-03-28,
20123.0,2020-03-22,
20125.0,2020-03-29,2020-04-04
20127.0,2020-03-19,
20129.0,2020-04-06,2020-06-28
20131.0,2020-04-28,
20133.0,2020-03-25,
20135.0,2020-05-18,
20137.0,2020-05-01,
20139.0,2020-03-27,
20141.0,2020-04-03,
20143.0,2020-03-27,
20145.0,2020-06-03,
20147.0,2020-04-11,
20149.0,2020-03-24,
20151.0,2020-04-01,
20155.0,2020-03-20,
20157.0,2020-04-05,
20159.0,2020-04-23,
20161.0,2020-03-20,2020-05-12
20163.0,2020-04-07,
20165.0,2020-06-29,
20169.0,2020-03-30,2020-04-05
20171.0,2020-04-07,
20173.0,2020-03-19,2020-03-30
20175.0,2020-04-07,2020-05-15
20177.0,2020-03-25,2020-03-28
20179.0,2020-04-19,
20181.0,2020-04-17,
20183.0,2020-04-15,
20185.0,2020-03-29,
20187.0,2020-04-12,
20189.0,2020-03-29,
20191.0,2020-03-26,2020-04-09
20193.0,2020-06-22,
20195.0,2020-05-22,
20197.0,2020-04-05,
20201.0,2020-06-10,
20205.0,2020-04-17,
20207.0,2020-03-24,
20209.0,2020-03-12,2020-03-12
21001.0,2020-04-05,2020-04-07
21003.0,2020-03-22,2020-05-11
21005.0,2020-03-21,2020-03-21
21007.0,2020-04-08,
21009.0,2020-03-31,2020-05-22
21011.0,2020-04-02,2020-04-30
21013.0,2020-05-18,
21015.0,2020-03-26,2020-04-04
21017.0,2020-03-14,2020-03-16
21019.0,2020-03-29,2020-04-02
21021.0,2020-03-28,
21023.0,2020-03-28,
21025.0,2020-03-22,
21027.0,2020-03-28,2020-05-19
21029.0,2020-03-27,2020-03-31
21031.0,2020-03-28,2020-04-10
21033.0,2020-04-04,
21035.0,2020-03-20,2020-04-07
21037.0,2020-03-27,2020-04-05
21039.0,2020-04-23,2020-05-01
21041.0,2020-03-28,
21043.0,2020-04-05,
21045.0,2020-04-14,
21047.0,2020-03-19,2020-04-10
21049.0,2020-03-15,2020-06-23
21051.0,2020-04-19,2020-06-02
21053.0,2020-04-04,
21055.0,2020-04-02,2020-04-20
21057.0,2020-04-02,
21059.0,2020-03-19,2020-03-31
21061.0,2020-03-31,2020-05-07
21063.0,2020-05-20,
21065.0,2020-06-02,
21067.0,2020-03-06,2020-03-27
21069.0,2020-04-11,
21071.0,2020-03-28,
21073.0,2020-03-18,2020-06-04
21075.0,2020-04-19,
21077.0,2020-04-11,2020-05-29
21079.0,2020-04-14,
21081.0,2020-03-28,2020-04-02
21083.0,2020-03-31,2020-04-16
21085.0,2020-03-25,2020-04-18
21087.0,2020-04-07,2020-06-17
21089.0,2020-04-05,
21091.0,2020-03-31,
21093.0,2020-03-22,2020-05-04
21095.0,2020-05-07,2020-06-19
21097.0,2020-03-08,
21099.0,2020-04-07,
21101.0,2020-03-19,2020-04-23
21103.0,2020-03-31,2020-06-09
21105.0,2020-04-21,
21107.0,2020-03-26,2020-03-27
21109.0,2020-04-08,2020-04-14
21111.0,2020-03-08,2020-03-19
21113.0,2020-03-22,
21115.0,2020-04-05,
21117.0,2020-03-18,2020-03-28
21119.0,2020-04-11,
21121.0,2020-04-09,
21123.0,2020-03-27,2020-06-09
21125.0,2020-03-25,2020-04-13
21127.0,2020-03-31,
21129.0,2020-05-28,
21131.0,2020-04-05,
21133.0,2020-04-05,
21135.0,2020-03-29,
21137.0,2020-04-02,2020-04-15
21139.0,2020-04-14,
21141.0,2020-03-23,2020-05-03
21143.0,2020-03-17,2020-04-07
21145.0,2020-03-24,2020-04-07
21147.0,2020-03-25,
21149.0,2020-04-05,2020-05-20
21151.0,2020-03-21,2020-04-05
21153.0,2020-05-16,
21155.0,2020-03-30,
21157.0,2020-03-30,2020-05-01
21159.0,2020-03-24,
21161.0,2020-03-26,
21163.0,2020-04-02,2020-04-09
21165.0,2020-03-24,
21167.0,2020-03-26,
21169.0,2020-04-28,2020-05-30
21171.0,2020-04-05,2020-06-26
21173.0,2020-03-12,
21175.0,2020-04-12,
21177.0,2020-03-24,2020-04-12
21179.0,2020-03-14,2020-05-30
21181.0,2020-03-28,
21183.0,2020-04-04,
21185.0,2020-03-22,2020-05-20
21187.0,2020-04-28,
21189.0,2020-04-12,
21191.0,2020-04-02,
21193.0,2020-04-04,2020-06-18
21195.0,2020-04-05,2020-04-12
21197.0,2020-03-31,
21199.0,2020-03-19,2020-04-02
21203.0,2020-03-31,
21205.0,2020-04-11,
21207.0,2020-03-31,2020-04-17
21209.0,2020-03-19,
21211.0,2020-03-28,2020-04-10
21213.0,2020-03-24,2020-03-30
21215.0,2020-03-21,
21217.0,2020-03-29,2020-05-30
21219.0,2020-04-07,
21221.0,2020-04-12,
21223.0,2020-04-10,
21225.0,2020-03-26,
21227.0,2020-03-18,2020-04-29
21229.0,2020-03-28,
21231.0,2020-03-25,
21233.0,2020-03-26,
21235.0,2020-04-08,
21237.0,2020-05-19,
21239.0,2020-03-27,
22001.0,2020-03-22,2020-03-27
22003.0,2020-03-23,2020-03-29
22005.0,2020-03-16,2020-03-23
22007.0,2020-03-19,2020-04-07
22009.0,2020-03-21,2020-04-01
22011.0,2020-03-21,2020-04-08
22013.0,2020-03-21,2020-03-25
22015.0,2020-03-14,2020-03-31
22017.0,2020-03-11,2020-03-26
22019.0,2020-03-19,2020-03-24
22021.0,2020-04-02,2020-06-04
22023.0,2020-04-07,
22025.0,2020-03-20,2020-03-22
22027.0,2020-03-21,2020-04-02
22029.0,2020-03-31,2020-04-03
22031.0,2020-03-20,2020-03-26
22033.0,2020-03-17,2020-03-23
22035.0,2020-03-28,2020-06-25
22037.0,2020-03-26,2020-04-08
22039.0,2020-03-21,2020-04-30
22041.0,2020-03-28,2020-04-10
22043.0,2020-03-23,2020-05-12
22045.0,2020-03-19,2020-04-01
22047.0,2020-03-19,2020-03-24
22049.0,2020-03-25,2020-04-28
22051.0,2020-03-09,2020-03-18
22053.0,2020-03-25,2020-04-06
22055.0,2020-03-19,2020-03-28
22057.0,2020-03-14,2020-03-25
22059.0,2020-03-26,2020-05-21
22061.0,2020-03-23,2020-04-17
22063.0,2020-03-19,2020-04-03
22065.0,2020-03-26,2020-06-02
22067.0,2020-03-25,2020-04-10
22069.0,2020-03-23,2020-04-17
22071.0,2020-03-10,2020-03-14
22073.0,2020-03-21,2020-03-23
22075.0,2020-03-19,2020-03-27
22077.0,2020-03-26,2020-04-09
22079.0,2020-03-20,2020-03-23
22081.0,2020-03-29,2020-04-07
22083.0,2020-03-23,2020-05-05
22085.0,2020-03-29,2020-04-28
22087.0,2020-03-15,2020-03-25
22089.0,2020-03-13,2020-03-25
22091.0,2020-03-31,2020-04-16
22093.0,2020-03-19,2020-03-19
22095.0,2020-03-14,2020-03-25
22097.0,2020-03-19,2020-03-30
22099.0,2020-03-23,2020-03-27
22101.0,2020-03-21,2020-04-09
22103.0,2020-03-13,2020-03-24
22105.0,2020-03-20,2020-04-01
22107.0,2020-04-11,
22109.0,2020-03-13,2020-03-27
22111.0,2020-03-25,2020-04-08
22113.0,2020-03-26,2020-03-28
22115.0,2020-03-24,2020-04-14
22117.0,2020-03-17,2020-03-23
22119.0,2020-03-19,2020-03-23
22121.0,2020-03-19,2020-03-23
22123.0,2020-04-06,2020-06-07
22125.0,2020-03-27,2020-04-20
22127.0,2020-03-25,2020-04-05
23001.0,2020-03-12,2020-04-15
23003.0,2020-04-03,2020-05-22
23005.0,2020-03-13,2020-03-27
23007.0,2020-03-26,2020-04-25
23009.0,2020-04-01,2020-05-08
23011.0,2020-03-17,2020-03-31
23013.0,2020-03-23,2020-06-03
23015.0,2020-03-15,
23017.0,2020-03-17,
23019.0,2020-03-18,2020-05-14
23021.0,2020-04-19,
23023.0,2020-03-21,2020-04-10
23025.0,2020-03-29,
23027.0,2020-03-24,2020-04-08
23029.0,2020-04-03,
23031.0,2020-03-17,2020-03-31
24001.0,2020-04-02,2020-04-15
24003.0,2020-03-13,2020-03-27
24005.0,2020-03-11,2020-03-20
24009.0,2020-03-19,2020-04-03
24011.0,2020-03-21,2020-05-31
24013.0,2020-03-14,2020-03-29
24015.0,2020-03-22,2020-04-01
24017.0,2020-03-13,2020-03-28
24019.0,2020-04-01,2020-04-11
24021.0,2020-03-16,2020-04-01
24023.0,2020-03-23,2020-06-24
24025.0,2020-03-08,2020-04-11
24027.0,2020-03-15,2020-03-30
24029.0,2020-03-25,2020-04-15
24031.0,2020-03-05,2020-03-21
24033.0,2020-03-09,2020-03-18
24035.0,2020-03-23,2020-04-15
24037.0,2020-03-22,2020-04-13
24039.0,2020-03-21,2020-05-19
24041.0,2020-03-16,2020-04-04
24043.0,2020-03-21,2020-04-11
24045.0,2020-03-19,2020-03-28
24047.0,2020-03-20,2020-04-28
24510.0,2020-03-15,2020-03-28
25001.0,2020-03-14,2020-03-25
25003.0,2020-03-07,2020-03-22
25005.0,2020-03-14,2020-03-27
25007.0,2020-03-25,2020-04-21
25009.0,2020-03-10,2020-03-23
25011.0,2020-03-18,2020-03-26
25013.0,2020-03-15,2020-03-22
25015.0,2020-03-19,2020-03-31
25017.0,2020-03-05,2020-03-21
25019.0,2020-03-21,2020-06-28
25021.0,2020-03-02,2020-03-23
25023.0,2020-03-15,2020-03-31
25025.0,2020-02-01,2020-03-20
25027.0,2020-03-08,2020-03-23
26001.0,2020-04-15,2020-04-30
26003.0,2020-06-10,
26005.0,2020-03-21,2020-04-24
26007.0,2020-04-11,2020-04-17
26009.0,2020-03-30,2020-04-25
26011.0,2020-03-31,2020-04-20
26013.0,2020-04-16,
26015.0,2020-03-21,2020-04-13
26017.0,2020-03-13,2020-04-12
26019.0,2020-04-18,
26021.0,2020-03-21,2020-03-30
26023.0,2020-03-31,2020-04-04
26025.0,2020-03-21,2020-04-03
26027.0,2020-03-27,2020-03-31
26029.0,2020-03-13,2020-04-13
26031.0,2020-03-29,2020-04-04
26033.0,2020-03-23,2020-04-10
26035.0,2020-03-21,2020-04-10
26037.0,2020-03-19,2020-04-02
26039.0,2020-03-27,2020-04-07
26041.0,2020-03-30,2020-04-09
26043.0,2020-04-02,2020-04-03
26045.0,2020-03-19,2020-04-02
26047.0,2020-03-22,2020-04-01
26049.0,2020-03-19,2020-03-26
26051.0,2020-03-22,2020-04-20
26053.0,2020-03-26,2020-03-26
26055.0,2020-03-22,2020-04-02
26057.0,2020-03-27,2020-04-19
26059.0,2020-03-24,2020-03-29
26061.0,2020-03-30,
26063.0,2020-03-27,2020-04-20
26065.0,2020-03-12,2020-03-27
26067.0,2020-03-26,2020-04-07
26069.0,2020-03-25,2020-04-04
26071.0,2020-06-02,2020-06-27
26073.0,2020-03-24,2020-03-29
26075.0,2020-03-17,2020-03-29
26077.0,2020-03-23,2020-03-30
26079.0,2020-03-24,2020-03-30
26081.0,2020-03-12,2020-03-21
26083.0,2020-06-10,
26085.0,2020-04-11,
26087.0,2020-03-24,2020-04-07
26089.0,2020-03-13,
26091.0,2020-03-25,2020-04-27
26093.0,2020-03-19,2020-03-25
26095.0,2020-04-03,
26097.0,2020-04-01,
26099.0,2020-03-13,2020-03-22
26101.0,2020-03-24,2020-06-05
26103.0,2020-03-25,2020-04-04
26105.0,2020-04-07,
26107.0,2020-03-26,2020-03-26
26109.0,2020-04-10,
26111.0,2020-03-19,2020-04-08
26113.0,2020-03-26,2020-03-27
26115.0,2020-03-14,2020-04-09
26117.0,2020-03-12,2020-04-07
26119.0,2020-04-13,
26121.0,2020-03-23,2020-03-27
26123.0,2020-03-23,
26125.0,2020-03-10,2020-03-20
26127.0,2020-03-26,2020-04-07
26129.0,2020-03-26,2020-05-28
26133.0,2020-03-28,
26135.0,2020-03-31,2020-04-20
26137.0,2020-03-17,2020-04-04
26139.0,2020-03-15,2020-04-09
26141.0,2020-04-06,
26143.0,2020-03-22,
26145.0,2020-03-21,2020-04-06
26147.0,2020-03-12,2020-04-04
26149.0,2020-03-30,2020-04-13
26151.0,2020-03-25,2020-04-01
26153.0,2020-04-08,
26155.0,2020-03-26,2020-04-11
26157.0,2020-03-21,2020-03-26
26159.0,2020-03-25,2020-04-02
26161.0,2020-03-12,2020-03-22
26163.0,2020-03-10,2020-03-18
26165.0,2020-03-21,2020-04-11
27001.0,2020-04-17,
27003.0,2020-03-10,2020-04-17
27005.0,2020-04-11,
27007.0,2020-03-27,
27009.0,2020-03-16,2020-05-01
27011.0,2020-03-23,
27013.0,2020-03-16,2020-05-20
27015.0,2020-03-31,2020-04-10
27017.0,2020-03-31,
27019.0,2020-03-08,2020-05-09
27021.0,2020-03-23,2020-05-10
27023.0,2020-04-20,2020-05-26
27025.0,2020-03-20,2020-04-03
27027.0,2020-03-20,2020-04-15
27029.0,2020-03-28,
27031.0,2020-06-13,
27033.0,2020-03-29,
27035.0,2020-04-01,2020-04-28
27037.0,2020-03-12,2020-04-03
27039.0,2020-03-21,
27041.0,2020-03-29,
27043.0,2020-03-27,
27045.0,2020-03-20,2020-04-23
27047.0,2020-04-01,
27049.0,2020-03-25,2020-05-21
27051.0,2020-05-02,
27053.0,2020-03-12,2020-03-27
27055.0,2020-04-05,
27057.0,2020-05-23,
27059.0,2020-03-29,
27061.0,2020-03-30,2020-05-12
27063.0,2020-03-21,
27065.0,2020-05-01,2020-05-19
27067.0,2020-03-26,2020-04-28
27069.0,2020-04-18,
27071.0,2020-04-02,2020-06-28
27073.0,2020-03-23,
27075.0,2020-05-07,
27079.0,2020-03-22,2020-05-12
27081.0,2020-03-27,
27083.0,2020-03-31,2020-06-02
27085.0,2020-04-04,
27087.0,2020-03-27,2020-05-06
27089.0,2020-04-19,
27091.0,2020-03-17,2020-03-27
27093.0,2020-03-30,2020-06-06
27095.0,2020-04-16,2020-04-19
27097.0,2020-04-19,2020-06-11
27099.0,2020-03-19,2020-05-20
27101.0,2020-04-06,
27103.0,2020-03-17,2020-04-11
27105.0,2020-04-10,2020-04-22
27107.0,2020-04-15,
27109.0,2020-03-11,2020-04-02
27111.0,2020-03-29,2020-06-05
27113.0,2020-04-21,
27115.0,2020-04-08,
27117.0,2020-04-05,2020-06-28
27119.0,2020-04-04,2020-05-09
27121.0,2020-05-05,
27123.0,2020-03-06,2020-03-21
27125.0,2020-04-12,
27127.0,2020-04-06,
27129.0,2020-03-14,2020-06-20
27131.0,2020-03-18,2020-04-17
27133.0,2020-04-12,
27135.0,2020-04-07,
27137.0,2020-03-21,2020-04-09
27139.0,2020-03-19,2020-04-03
27141.0,2020-03-23,2020-05-05
27143.0,2020-03-26,2020-06-09
27145.0,2020-03-12,2020-05-04
27147.0,2020-03-21,
27149.0,2020-05-28,
27151.0,2020-04-07,2020-06-05
27153.0,2020-04-12,2020-06-04
27155.0,2020-03-31,
27157.0,2020-03-21,
27159.0,2020-04-28,
27161.0,2020-03-15,
27163.0,2020-03-15,2020-04-05
27165.0,2020-03-30,
27167.0,2020-03-26,2020-04-08
27169.0,2020-03-25,2020-04-03
27171.0,2020-03-13,2020-04-11
27173.0,2020-04-01,
28001.0,2020-03-20,2020-04-09
28003.0,2020-03-30,2020-04-29
28005.0,2020-03-28,2020-03-30
28007.0,2020-03-21,2020-05-02
28009.0,2020-03-26,
28011.0,2020-03-18,2020-03-31
28013.0,2020-03-25,2020-04-14
28015.0,2020-03-29,2020-04-16
28017.0,2020-03-22,2020-04-02
28019.0,2020-03-24,2020-04-05
28021.0,2020-03-29,2020-05-19
28023.0,2020-03-28,2020-04-08
28025.0,2020-03-21,2020-04-17
28027.0,2020-03-18,2020-04-04
28029.0,2020-03-13,2020-04-16
28031.0,2020-03-28,2020-05-08
28033.0,2020-03-18,2020-03-28
28035.0,2020-03-11,2020-04-05
28037.0,2020-03-20,2020-04-25
28039.0,2020-03-21,2020-04-18
28041.0,2020-04-06,2020-04-24
28043.0,2020-03-21,2020-05-03
28045.0,2020-03-16,2020-03-19
28047.0,2020-03-17,2020-03-27
28049.0,2020-03-15,2020-04-08
28051.0,2020-03-19,2020-03-25
28053.0,2020-03-20,2020-04-01
28055.0,2020-06-25,2020-06-27
28057.0,2020-03-21,2020-04-17
28059.0,2020-03-17,2020-04-02
28061.0,2020-04-01,2020-04-17
28063.0,2020-03-27,2020-05-29
28065.0,2020-04-09,2020-04-13
28067.0,2020-03-19,2020-04-26
28069.0,2020-03-27,2020-04-26
28071.0,2020-03-20,2020-03-31
28073.0,2020-03-23,2020-04-07
28075.0,2020-03-26,2020-04-04
28077.0,2020-03-20,2020-05-22
28079.0,2020-03-21,2020-04-14
28081.0,2020-03-20,2020-03-28
28083.0,2020-03-13,2020-03-30
28085.0,2020-03-21,2020-04-07
28087.0,2020-03-21,2020-04-17
28089.0,2020-03-18,2020-04-06
28091.0,2020-03-23,2020-04-19
28093.0,2020-03-20,2020-04-02
28095.0,2020-03-16,2020-04-02
28097.0,2020-03-22,2020-03-31
28099.0,2020-03-27,2020-04-14
28101.0,2020-03-24,2020-05-09
28103.0,2020-03-24,2020-05-02
28105.0,2020-03-22,2020-04-07
28107.0,2020-03-21,2020-03-31
28109.0,2020-03-13,2020-04-04
28111.0,2020-03-18,2020-03-28
28113.0,2020-03-20,2020-04-08
28115.0,2020-03-22,2020-04-03
28117.0,2020-03-25,2020-04-25
28119.0,2020-03-26,
28121.0,2020-03-20,2020-03-26
28123.0,2020-03-19,2020-05-02
28125.0,2020-03-27,
28127.0,2020-03-21,2020-06-10
28129.0,2020-03-20,2020-04-10
28131.0,2020-04-05,2020-06-17
28133.0,2020-03-22,2020-03-28
28135.0,2020-03-23,2020-04-17
28137.0,2020-03-22,2020-05-19
28139.0,2020-03-20,2020-03-27
28141.0,2020-03-31,2020-06-17
28143.0,2020-03-21,2020-03-25
28145.0,2020-03-21,2020-04-11
28147.0,2020-03-19,2020-06-12
28149.0,2020-03-29,2020-04-15
28151.0,2020-03-21,2020-04-07
28153.0,2020-04-02,2020-05-30
28155.0,2020-03-22,2020-03-25
28157.0,2020-03-19,2020-03-25
28159.0,2020-03-19,2020-05-23
28161.0,2020-03-26,2020-05-18
28163.0,2020-03-19,2020-04-02
29001.0,2020-03-23,
29003.0,2020-04-11,
29005.0,2020-03-27,
29007.0,2020-04-19,2020-06-02
29009.0,2020-03-27,
29011.0,2020-06-11,
29013.0,2020-03-21,2020-04-13
29015.0,2020-03-26,
29017.0,2020-03-26,
29019.0,2020-03-17,2020-03-18
29021.0,2020-03-27,2020-04-09
29023.0,2020-04-01,
29025.0,2020-04-01,
29027.0,2020-03-23,2020-04-06
29029.0,2020-03-23,2020-03-28
29031.0,2020-03-24,2020-04-07
29033.0,2020-04-22,
29035.0,2020-03-26,2020-04-04
29037.0,2020-03-16,2020-04-01
29039.0,2020-03-30,
29041.0,2020-03-27,
29043.0,2020-03-20,
29045.0,2020-04-03,
29047.0,2020-03-23,2020-04-06
29049.0,2020-03-23,
29051.0,2020-03-17,2020-04-03
29053.0,2020-03-25,
29055.0,2020-03-30,
29057.0,2020-06-15,
29059.0,2020-04-07,2020-06-24
29061.0,2020-04-15,
29063.0,2020-04-01,
29065.0,2020-05-15,
29067.0,2020-05-31,
29069.0,2020-03-20,2020-04-15
29071.0,2020-03-24,2020-04-05
29073.0,2020-04-01,
29075.0,2020-04-06,2020-05-29
29077.0,2020-03-12,2020-03-24
29079.0,2020-05-23,
29081.0,2020-03-31,
29083.0,2020-03-13,2020-03-29
29087.0,2020-04-15,
29089.0,2020-04-07,
29091.0,2020-04-02,
29093.0,2020-04-11,
29095.0,2020-03-17,2020-03-20
29097.0,2020-03-21,2020-06-25
29099.0,2020-03-24,2020-04-02
29101.0,2020-03-21,
29103.0,2020-06-10,
29105.0,2020-05-09,
29107.0,2020-03-23,2020-03-30
29109.0,2020-05-03,2020-06-28
29111.0,2020-04-18,2020-04-22
29113.0,2020-03-27,2020-04-08
29115.0,2020-04-03,2020-04-13
29117.0,2020-03-30,
29119.0,2020-03-25,2020-06-24
29121.0,2020-03-30,
29123.0,2020-04-06,
29125.0,2020-03-30,
29127.0,2020-04-18,
29129.0,2020-05-31,
29131.0,2020-04-15,
29133.0,2020-04-22,
29135.0,2020-03-23,2020-05-16
29137.0,2020-05-27,
29139.0,2020-03-25,
29141.0,2020-03-30,
29143.0,2020-04-02,2020-05-18
29145.0,2020-03-25,2020-04-22
29147.0,2020-04-04,
29149.0,2020-04-07,
29151.0,2020-03-30,
29153.0,2020-06-20,
29155.0,2020-03-24,2020-04-23
29157.0,2020-03-23,
29159.0,2020-03-27,2020-05-12
29161.0,2020-04-06,
29163.0,2020-03-30,2020-05-12
29165.0,2020-03-25,2020-05-21
29167.0,2020-04-07,
29169.0,2020-03-20,2020-04-01
29171.0,2020-06-07,
29173.0,2020-03-25,
29175.0,2020-03-25,
29177.0,2020-03-27,
29179.0,2020-03-30,
29181.0,2020-03-28,
29183.0,2020-03-18,2020-03-25
29185.0,2020-04-09,
29186.0,2020-03-31,2020-04-06
29187.0,2020-03-23,2020-04-08
29189.0,2020-03-07,2020-03-20
29195.0,2020-04-03,2020-05-28
29197.0,2020-05-16,
29199.0,2020-04-07,2020-06-10
29201.0,2020-03-20,2020-04-18
29203.0,2020-05-27,
29205.0,2020-03-25,
29207.0,2020-03-26,2020-05-19
29209.0,2020-03-30,
29211.0,2020-05-03,
29213.0,2020-03-23,2020-04-09
29215.0,2020-05-29,
29217.0,2020-04-09,
29219.0,2020-03-28,
29221.0,2020-04-08,2020-04-25
29223.0,2020-06-20,
29225.0,2020-03-30,2020-06-23
29227.0,2020-04-06,
29229.0,2020-03-27,
29510.0,2020-03-18,2020-03-23
30001.0,2020-04-04,
30003.0,2020-04-10,2020-06-05
30007.0,2020-03-19,
30009.0,2020-04-01,
30013.0,2020-03-21,2020-04-18
30017.0,2020-06-12,
30021.0,2020-06-20,
30023.0,2020-03-29,
30027.0,2020-06-18,
30029.0,2020-03-19,2020-04-13
30031.0,2020-03-13,2020-04-28
30035.0,2020-04-03,
30037.0,2020-04-11,
30039.0,2020-06-25,
30041.0,2020-03-25,
30043.0,2020-03-24,
30047.0,2020-03-27,
30049.0,2020-03-13,
30051.0,2020-03-31,
30053.0,2020-03-26,2020-03-27
30057.0,2020-03-19,2020-03-30
30059.0,2020-03-26,
30063.0,2020-03-14,2020-04-04
30065.0,2020-03-31,
30067.0,2020-03-27,
30073.0,2020-04-15,
30081.0,2020-03-21,
30083.0,2020-04-08,
30085.0,2020-03-19,
30087.0,2020-06-02,2020-06-26
30093.0,2020-03-13,
30095.0,2020-04-09,
30101.0,2020-03-26,2020-03-30
30103.0,2020-06-24,
30105.0,2020-06-18,
30107.0,2020-04-24,
30111.0,2020-03-13,2020-04-18
31001.0,2020-03-18,2020-04-18
31003.0,2020-03-30,2020-06-24
31007.0,2020-06-09,
31011.0,2020-05-04,
31013.0,2020-04-11,
31015.0,2020-06-01,
31019.0,2020-03-20,2020-03-31
31021.0,2020-04-09,
31023.0,2020-04-17,
31025.0,2020-03-12,2020-06-27
31027.0,2020-04-27,
31029.0,2020-05-24,
31031.0,2020-04-04,
31033.0,2020-04-06,
31035.0,2020-04-10,
31037.0,2020-04-02,2020-05-06
31039.0,2020-04-01,
31041.0,2020-04-06,2020-04-06
31043.0,2020-04-12,2020-04-25
31045.0,2020-05-09,
31047.0,2020-03-22,2020-05-01
31051.0,2020-04-20,2020-06-06
31053.0,2020-03-25,2020-05-15
31055.0,2020-02-17,2020-03-27
31059.0,2020-04-22,2020-06-01
31061.0,2020-04-10,
31063.0,2020-04-29,
31065.0,2020-04-18,2020-06-10
31067.0,2020-04-02,2020-04-02
31069.0,2020-06-01,
31071.0,2020-05-28,
31073.0,2020-03-28,
31077.0,2020-04-23,
31079.0,2020-03-26,2020-03-27
31081.0,2020-04-02,2020-04-16
31083.0,2020-05-21,
31087.0,2020-04-30,
31089.0,2020-05-03,
31093.0,2020-04-16,2020-05-22
31095.0,2020-04-26,
31097.0,2020-04-05,
